"agricultura","avg_wage","ano","trimestre"
0,3042.90439349482,2022,1
NA,NA,2022,1
1,1853.78233248415,2022,1
0,3096.21739067683,2022,2
NA,NA,2022,2
1,1843.190911616,2022,2
0,3198.28970283396,2022,3
NA,NA,2022,3
1,1995.13535320165,2022,3
0,3262.17152816644,2022,4
NA,NA,2022,4
1,1958.54280884996,2022,4
0,3276.25323528285,2023,1
NA,NA,2023,1
1,1966.52727945545,2023,1
0,3276.36895251445,2023,2
NA,NA,2023,2
1,1953.67176791357,2023,2
0,3334.01950007317,2023,3
NA,NA,2023,3
1,1930.44729565169,2023,3
0,3360.73743980788,2023,4
NA,NA,2023,4
1,1966.80424848891,2023,4
0,3417.70196008668,2024,1
NA,NA,2024,1
1,1972.23960239591,2024,1
