Ano_trimestre,salario_esperado_medio_homem_branco.V1,salario_esperado_medio_homem_negro.V1,salario_esperado_medio_mulher_branca.V1,salario_esperado_medio_mulher_negra.V1,probabilidade_emprego_medio_homem_branco.V1,probabilidade_emprego_medio_homem_negro.V1,probabilidade_emprego_medio_mulher_branca.V1,probabilidade_emprego_mulher_negra.V1,massa_salarial_perdida_homem_negro.V1,massa_salarial_perdida_mulher_negra.V1,diff_caracteristica_wg_homem_negro.V1,diff_caracteristica_wg_mulher_negra.V1,diff_caracteristica_emp_homem_negro.V1,diff_caracteristica_emp_mulher_negra.V1,perda_wg_discr_homem_negro.V1,perda_wg_discr_mulher_negra.V1,perda_emp_discr_homem_negro.V1,perda_emp_discr_mulher_negra.V1
2012T1,7.72827607949008,7.23270238470739,7.28758650658159,6.83800389888157,0.941080175793256,0.921831777362676,0.913688464120622,0.872145143085724,-1728378136.29171,-2443873131.93197,-0.37829569351026,-0.354246265745558,-0.0161585028113111,-0.0268636204109939,-0.117278001272433,-0.0953363419544614,-0.00308989561926862,-0.0146797006239037
2012T2,7.7332070063943,7.22639083261864,7.33516115946779,6.86023904331983,0.942781196422233,0.922447264619475,0.923635249395689,0.881995508948411,-1866504185.46443,-2622373549.57238,-0.39040060947504,-0.376112540784851,-0.0169370820874743,-0.0258977610611702,-0.116415564300623,-0.0988095753631076,-0.00339684971528364,-0.0157419793861088
2012T3,7.74723939071652,7.2475643372668,7.34602893221432,6.8740208730105,0.947416929755835,0.927423543521932,0.930504330233465,0.888568230907951,-1875145232.282,-2691769862.16719,-0.392996325956084,-0.379168290137434,-0.0164851972092521,-0.0265232775336865,-0.106678727493633,-0.0928397690663919,-0.00350818902465103,-0.015412821791828
2012T4,7.76092309124082,7.25159354347965,7.34786339229622,6.87299807917918,0.949464463641021,0.926627934755379,0.93393284907232,0.894161606858,-2193228353.25633,-2595508066.94866,-0.392784361657727,-0.380604069569786,-0.0161159373992218,-0.0265754364901071,-0.116545186103444,-0.0942612435472496,-0.00672059148641954,-0.0131958057242131
2013T1,7.77181367714297,7.26492034703615,7.36669126598966,6.88717435531193,0.943116444073952,0.915794054380901,0.919587688267967,0.874131840050665,-2678679651.42246,-3049885842.78769,-0.397153976915965,-0.380807606669947,-0.0186843929433275,-0.029809533542691,-0.109739353190859,-0.0987093040077905,-0.00863799674972333,-0.0156463146746109
2013T2,7.78374511075104,7.272268783155,7.35289954842619,6.87512373705761,0.946504850116486,0.922306364875059,0.924870817229145,0.882180880533669,-2409118489.97731,-2824672465.52995,-0.399287762432121,-0.377810163823338,-0.0179743570394802,-0.0265530067785075,-0.112188565163925,-0.0999656475452392,-0.00622412820194724,-0.0161369299169691
2013T3,7.79666351582314,7.29537144007217,7.38104983732012,6.90235398515766,0.948046749860942,0.927292376779733,0.930036502861063,0.891488584561159,-2090462067.74356,-2608810092.28216,-0.399311172489165,-0.38135266705667,-0.0142485585467063,-0.0236637126754705,-0.101980903261805,-0.0973431851057892,-0.00650581453450302,-0.0148842056244339
2013T4,7.80531802774033,7.29463894190168,7.39077174532618,6.91606121896112,0.952955118637993,0.93552768091538,0.938348763236491,0.902232919481103,-1793879485.30175,-2484260061.79212,-0.40000480723369,-0.369807972983467,-0.0116259332020921,-0.0185303462449632,-0.110674278604958,-0.104902553381597,-0.00580150452052108,-0.017585497510425
2014T1,7.82362982009615,7.31976429668053,7.41364546858087,6.95095109064753,0.94480884728216,0.924359180599042,0.927642536008038,0.886751415429996,-2137728547.70929,-2885660695.06904,-0.39415825160922,-0.368842094248802,-0.0147387546475161,-0.0233994780044142,-0.109707271806405,-0.0938522836845401,-0.00571091203560201,-0.0174916425736285
2014T2,7.81783476580882,7.31256164347002,7.41023421813855,6.93610594180454,0.945084529686044,0.925982809557918,0.933820376969559,0.894672094732918,-2000279970.66954,-2771820174.04597,-0.39738569064301,-0.376097444930956,-0.0154803608232734,-0.0215339457585001,-0.107887431695793,-0.0980308314030579,-0.00362135930485245,-0.0176143364781406
