"metropolitan","avg_wage","ano","trimestre"
1,3542.11643195915,2022,1
0,2508.96703308409,2022,1
1,3633.38009443972,2022,2
0,2527.26163887806,2022,2
1,3729.87578776359,2022,3
0,2645.8815120791,2022,3
1,3850.90558347233,2022,4
0,2652.18014723197,2022,4
1,3882.34117388631,2023,1
0,2651.14237395239,2023,1
1,3898.0576660167,2023,2
0,2646.94225605008,2023,2
1,3950.30628208063,2023,3
0,2696.89473231554,2023,3
1,3964.69545275179,2023,4
0,2739.14570366184,2023,4
1,3998.721105032,2024,1
0,2810.83266974909,2024,1
