"adm_publica","avg_wage","ano","trimestre"
0,2825.80604460536,2022,1
NA,NA,2022,1
1,5094.16272579686,2022,1
0,2873.23288880223,2022,2
NA,NA,2022,2
1,5214.96317762313,2022,2
0,2974.91011791061,2022,3
NA,NA,2022,3
1,5376.74279962224,2022,3
0,3046.7144189879,2022,4
NA,NA,2022,4
1,5251.29332524371,2022,4
0,3051.47408236274,2023,1
NA,NA,2023,1
1,5472.70313814081,2023,1
0,3052.23399442807,2023,2
NA,NA,2023,2
1,5430.82210859984,2023,2
0,3105.26021213369,2023,3
NA,NA,2023,3
1,5559.42245272705,2023,3
0,3139.9275551856,2023,4
NA,NA,2023,4
1,5600.66079350315,2023,4
0,3187.75854884041,2024,1
NA,NA,2024,1
1,5724.33384620909,2024,1
