"alojamento_alimentacao","avg_wage","ano","trimestre"
1,2036.22070794262,2022,1
NA,NA,2022,1
0,2999.40798773664,2022,1
1,1993.38389773369,2022,2
0,3052.92929604479,2022,2
NA,NA,2022,2
0,3163.76700522173,2022,3
NA,NA,2022,3
1,2002.52069708896,2022,3
0,3218.9099464522,2022,4
NA,NA,2022,4
1,2132.35038435895,2022,4
0,3227.76151512783,2023,1
NA,NA,2023,1
1,2283.26107157963,2023,1
0,3234.27286831994,2023,2
NA,NA,2023,2
1,2173.08230851439,2023,2
0,3284.76114053908,2023,3
NA,NA,2023,3
1,2251.74656743172,2023,3
0,3320.61239149369,2023,4
NA,NA,2023,4
1,2185.49014411038,2023,4
0,3371.93447904086,2024,1
NA,NA,2024,1
1,2281.90823909071,2024,1
