"educ_saude","avg_wage","ano","trimestre"
0,2819.11807047575,2022,1
NA,NA,2022,1
1,3828.30582419608,2022,1
0,2853.18963839197,2022,2
NA,NA,2022,2
1,3949.2033248441,2022,2
0,2957.35923705007,2022,3
NA,NA,2022,3
1,4073.09710576216,2022,3
0,3003.00369703723,2022,4
NA,NA,2022,4
1,4195.5630173524,2022,4
0,3023.8863277204,2023,1
NA,NA,2023,1
1,4184.05613805403,2023,1
0,3019.73837259566,2023,2
NA,NA,2023,2
1,4170.74429755556,2023,2
0,3065.75521723537,2023,3
NA,NA,2023,3
1,4247.73403818589,2023,3
0,3085.58253716833,2023,4
NA,NA,2023,4
1,4365.362098054,2023,4
0,3154.85147945717,2024,1
NA,NA,2024,1
1,4346.19099429387,2024,1
