"employer","avg_wage","ano","trimestre"
0,2771.93653023983,2022,1
NA,NA,2022,1
1,6745.55099938341,2022,1
0,2834.92636309113,2022,2
NA,NA,2022,2
1,6442.47183049601,2022,2
0,2898.54668458355,2022,3
NA,NA,2022,3
1,7444.08928241411,2022,3
0,2966.63615268374,2022,4
NA,NA,2022,4
1,7391.35960443563,2022,4
0,2969.73353460419,2023,1
NA,NA,2023,1
1,7786.32589932403,2023,1
0,2957.59843288524,2023,2
NA,NA,2023,2
1,8048.97068836835,2023,2
0,3018.57140948186,2023,3
NA,NA,2023,3
1,7925.47885955088,2023,3
0,3063.64139697266,2023,4
NA,NA,2023,4
1,7711.08945960901,2023,4
0,3124.99527116636,2024,1
NA,NA,2024,1
1,7682.74049426622,2024,1
