"industria","avg_wage","ano","trimestre"
0,2939.32459540836,2022,1
NA,NA,2022,1
1,3023.20229253629,2022,1
0,3000.63605479847,2022,2
1,2991.77459719283,2022,2
NA,NA,2022,2
0,3108.87001188857,2022,3
NA,NA,2022,3
1,3093.99951230562,2022,3
0,3174.77080606149,2022,4
NA,NA,2022,4
1,3104.92142720683,2022,4
1,3113.7909446468,2023,1
NA,NA,2023,1
0,3190.33083013713,2023,1
1,3107.74705827471,2023,2
NA,NA,2023,2
0,3190.98925947736,2023,2
1,3216.00398120262,2023,3
NA,NA,2023,3
0,3235.26221849728,2023,3
1,3285.16751862919,2023,4
NA,NA,2023,4
0,3261.4695031192,2023,4
0,3313.03791467726,2024,1
NA,NA,2024,1
1,3353.64933073383,2024,1
