"comercio","avg_wage","ano","trimestre"
0,3051.40272550188,2022,1
NA,NA,2022,1
1,2501.83182446706,2022,1
0,3100.30685573855,2022,2
NA,NA,2022,2
1,2553.16344126444,2022,2
0,3212.45112998633,2022,3
NA,NA,2022,3
1,2641.87350820765,2022,3
0,3281.28810227713,2022,4
NA,NA,2022,4
1,2651.29036708479,2022,4
0,3287.39807047561,2023,1
NA,NA,2023,1
1,2705.81266388987,2023,1
0,3283.87206570316,2023,2
NA,NA,2023,2
1,2713.19006615876,2023,2
0,3346.89287227061,2023,3
NA,NA,2023,3
1,2713.21252879689,2023,3
0,3378.23269321524,2023,4
NA,NA,2023,4
1,2753.457580743,2023,4
1,2841.71740745821,2024,1
NA,NA,2024,1
0,3423.31096431965,2024,1
