"construcao","avg_wage","ano","trimestre"
0,3001.41709565359,2022,1
NA,NA,2022,1
1,2341.93708346081,2022,1
0,3057.92619078463,2022,2
NA,NA,2022,2
1,2303.48557162812,2022,2
0,3168.0707340058,2022,3
1,2372.83729916573,2022,3
NA,NA,2022,3
1,2629.5681580232,2022,4
NA,NA,2022,4
0,3209.56683623907,2022,4
0,3235.39330395302,2023,1
NA,NA,2023,1
1,2497.06602820404,2023,1
0,3230.90370014178,2023,2
NA,NA,2023,2
1,2552.69234246563,2023,2
0,3298.44583750878,2023,3
NA,NA,2023,3
1,2422.30013556199,2023,3
0,3332.04188255465,2023,4
NA,NA,2023,4
1,2428.04592773792,2023,4
0,3389.49575955033,2024,1
NA,NA,2024,1
1,2445.71463344002,2024,1
