"domestic_informal","avg_wage","ano","trimestre"
0,3040.96471510062,2022,1
NA,NA,2022,1
1,978.722168333935,2022,1
0,3091.73290822445,2022,2
NA,NA,2022,2
1,993.422276056314,2022,2
0,3202.95717853559,2022,3
NA,NA,2022,3
1,995.010951662235,2022,3
0,3261.94600093611,2022,4
NA,NA,2022,4
1,1024.07931116719,2022,4
0,3274.41808860413,2023,1
NA,NA,2023,1
1,1031.93801035076,2023,1
0,3277.90565082455,2023,2
NA,NA,2023,2
1,1036.31998616579,2023,2
0,3332.56458315907,2023,3
NA,NA,2023,3
1,1010.52239864487,2023,3
0,3368.93705623289,2023,4
NA,NA,2023,4
1,1024.4432061744,2023,4
0,3420.7421033844,2024,1
NA,NA,2024,1
1,1026.42923082032,2024,1
