"male","avg_wage","ano","trimestre"
0,2586.10010047833,2022,1
1,3226.28290572083,2022,1
0,2611.44188499886,2022,2
1,3297.04511803825,2022,2
0,2716.15256481164,2022,3
1,3407.71911405124,2022,3
1,3495.68464892552,2022,4
0,2736.79722233127,2022,4
1,3471.18077132944,2023,1
0,2801.10425611942,2023,1
1,3479.41192287165,2023,2
0,2792.44096116621,2023,2
1,3537.54444640782,2023,3
0,2836.80704640582,2023,3
1,3575.18052927608,2023,4
0,2863.77690743522,2023,4
1,3619.1229989284,2024,1
0,2925.93123651095,2024,1
