"servios_profissionais","avg_wage","ano","trimestre"
0,2752.85366236992,2022,1
NA,NA,2022,1
1,4342.11935045164,2022,1
0,2802.01328596254,2022,2
NA,NA,2022,2
1,4403.98748416004,2022,2
0,2895.26917670047,2022,3
NA,NA,2022,3
1,4606.07458424546,2022,3
0,2949.36258010108,2022,4
NA,NA,2022,4
1,4667.22904995209,2022,4
0,2961.39212507903,2023,1
NA,NA,2023,1
1,4664.16891932318,2023,1
0,2958.24257068778,2023,2
NA,NA,2023,2
1,4706.56171204139,2023,2
0,2997.41962126603,2023,3
NA,NA,2023,3
1,4787.42811679772,2023,3
0,3031.92533143027,2023,4
NA,NA,2023,4
1,4813.08514449287,2023,4
0,3099.02819016803,2024,1
NA,NA,2024,1
1,4736.62675480729,2024,1
