"self_employed","avg_wage","ano","trimestre"
0,3180.28301045875,2022,1
NA,NA,2022,1
1,2310.83041419535,2022,1
0,3217.85857239548,2022,2
NA,NA,2022,2
1,2376.24286769527,2022,2
0,3341.20104520743,2022,3
1,2424.17634887101,2022,3
NA,NA,2022,3
1,2627.52011549231,2022,4
NA,NA,2022,4
0,3347.39991616509,2022,4
1,2535.00363561123,2023,1
NA,NA,2023,1
0,3399.98760663378,2023,1
1,2560.22865615831,2023,2
NA,NA,2023,2
0,3389.52260848472,2023,2
1,2642.3678439405,2023,3
NA,NA,2023,3
0,3431.33349033807,2023,3
1,2631.1375791739,2023,4
NA,NA,2023,4
0,3476.66796740193,2023,4
1,2766.11782355014,2024,1
NA,NA,2024,1
0,3504.22713194217,2024,1
