"transporte","avg_wage","ano","trimestre"
0,2965.14177012097,2022,1
NA,NA,2022,1
1,2702.20235017829,2022,1
0,3005.88574549212,2022,2
NA,NA,2022,2
1,2890.49097220712,2022,2
0,3117.33663111315,2022,3
NA,NA,2022,3
1,2932.07900186052,2022,3
0,3174.29285991991,2022,4
NA,NA,2022,4
1,3020.71146655382,2022,4
0,3199.36842268712,2023,1
NA,NA,2023,1
1,2867.38210315653,2023,1
0,3199.05542770664,2023,2
NA,NA,2023,2
1,2868.67255515144,2023,2
0,3249.27652104479,2023,3
NA,NA,2023,3
1,2963.47146739033,2023,3
0,3280.10621561235,2023,4
NA,NA,2023,4
1,3018.88703620961,2023,4
0,3332.38725114503,2024,1
NA,NA,2024,1
1,3099.11019237639,2024,1
