"","gender_race","renda_media_hab","renda_media_efe","massa_hab","massa_efe","tx_desocup","pea_fac","gini_hab","gini_efe","Ano_trimestre"
"1","Homem Negro",2521.24373854969,2660.52750759052,51873449666.774,54739150222.5221,0.0476541184578725,0.856399503654827,0.447971956500623,0.475076328471914,"2012T1"
"2","Mulher Branca",3182.40868034981,3388.40628194713,45796382078.0178,48760786030.3315,0.0601572175092047,0.617413493524467,0.497285182990709,0.512377257065054,"2012T1"
"3","Homem Branco",4662.99208709928,4923.17176467364,89578092409.4896,94576256413.5219,0.0349849170357569,0.861360803684129,0.517432379241654,0.533842622729935,"2012T1"
"4","Mulher Negra",1877.46002696567,2006.38433207169,25064820851.563,26786010418.5745,0.0889390422586513,0.581610829539682,0.443788134235547,0.47224091562839,"2012T1"
"5","Mulher Branca",3246.95217291911,3232.88694796659,47380039624.032,47174797637.0606,0.0540523405250157,0.631986633118048,0.494905861844927,0.501167295059531,"2012T2"
"6","Homem Negro",2514.82844022533,2493.93493066002,52703792651.1146,52265922942.6802,0.0489624186044256,0.858778470792327,0.442736816807155,0.455420188132848,"2012T2"
"7","Mulher Negra",1875.75122244536,1864.31072152776,25601026614.9292,25444881938.0793,0.0822324421658004,0.585674438250501,0.436821790483009,0.445759186805844,"2012T2"
"8","Homem Branco",4641.94219127167,4638.5728247323,89469801584.6091,89404859682.4222,0.0351006683993103,0.873195188207374,0.51001415367864,0.51806305529044,"2012T2"
"9","Mulher Branca",3186.4943814389,3183.37437705671,25786682159.8675,25761433547.5337,0.0599564331618764,0.625628123278845,0.50182312309289,0.504742640719542,"2012T3"
"10","Homem Negro",2363.76754831703,2349.33968607539,39498187975.7575,39257100642.3966,0.0510847803239168,0.852090041959681,0.441683582268524,0.451644089947877,"2012T3"
"11","Mulher Negra",1822.73966716971,1815.6151874256,19879004948.071,19801304566.2575,0.0824007177733453,0.575347264774362,0.444424319344762,0.451413710142333,"2012T3"
"12","Homem Branco",4545.41170249146,4525.48584151749,48036255526.6737,47825677517.0272,0.0394752221348307,0.868467203121664,0.531721581131933,0.534810499359992,"2012T3"
"13","Mulher Branca",3347.06202528661,3392.01029411147,33515096687.8429,33965176657.7495,0.0563771660427688,0.623532983335227,0.504094327175153,0.508751190834573,"2012T4"
"14","Homem Negro",2416.39667370477,2424.59864649306,43896506745.9737,44045504614.4733,0.0513137403499083,0.855533502025846,0.435143467018861,0.446220470203116,"2012T4"
"15","Mulher Negra",1821.32045251753,1835.8063004228,21772011772.9417,21945175177.9309,0.0779158439858449,0.576312896926479,0.430868845713121,0.44080372776989,"2012T4"
"16","Homem Branco",4736.39583831961,4781.54491941056,61863040946.5705,62452742387.8295,0.0371692145157529,0.872109286480741,0.520870874653156,0.525485654674867,"2012T4"
"17","Mulher Branca",3304.18013931125,3458.6934704048,47970132003.6749,50213358636.721,0.0576409774671512,0.633303776358454,0.488011668513536,0.499060114950225,"2013T1"
"18","Homem Negro",2569.68675768016,2669.07114413091,55090184144.79,57220834557.4621,0.0546227906934287,0.857182859659276,0.434998435064699,0.457318789500277,"2013T1"
"19","Mulher Negra",1899.45264567892,1992.0514374517,26643441748.8828,27942316201.0717,0.0898365807541179,0.5839269800766,0.428045565153298,0.450376296786089,"2013T1"
"20","Homem Branco",4718.61801185526,4912.22680300134,90365123928.1851,94072879538.3118,0.0347887827073417,0.869965608758647,0.507091051495081,0.516659402162986,"2013T1"
"21","Mulher Negra",1936.43471270488,1919.76250078228,27448301636.9349,27211978718.9435,0.0854730924913461,0.587896475481018,0.429602498124041,0.438934759640688,"2013T2"
"22","Homem Negro",2593.96830936793,2563.04916865957,56161710834.7305,55492284059.7579,0.0500102257238735,0.860758603157225,0.437993722041938,0.4457664026977,"2013T2"
"23","Homem Branco",4789.90737306004,4789.13489220431,92899589317.9526,92884607158.87,0.0332926709115142,0.874447942706616,0.506985124861785,0.513152142631952,"2013T2"
"24","Mulher Branca",3309.81042871634,3296.96404503479,48915417710.0284,48725562055.9417,0.0543950339056348,0.639894841807436,0.485224866523822,0.489332481042766,"2013T2"
"25","Homem Negro",2638.68367314871,2618.72370856934,57321890428.1699,56888286766.5367,0.0452680914138611,0.862341933097505,0.437693104628124,0.446844144133138,"2013T3"
"26","Mulher Negra",1983.46697063641,1974.44914253112,28329390796.1064,28200591284.7916,0.0771083592388439,0.587523978338492,0.435331675661473,0.443255454877544,"2013T3"
"27","Mulher Branca",3373.7758005179,3368.8577370888,50729639209.9378,50655688954.1646,0.0514633436480639,0.637681640464129,0.485334806771789,0.490100991682084,"2013T3"
"28","Homem Branco",4754.71586326001,4731.91659951533,93179207413.6223,92732405252.0549,0.0313788384778499,0.872791745706205,0.498783605586141,0.503846153280392,"2013T3"
"29","Homem Negro",2634.43877673413,2649.99085063281,58567650513.9948,58913397181.9036,0.0414935734168513,0.865413671778468,0.436740449775243,0.446513613625939,"2013T4"
"30","Mulher Negra",1958.74773741809,1978.7213756897,28379663265.6859,28669054858.8504,0.0690032089787286,0.587378277415526,0.429900204608202,0.43982073155621,"2013T4"
"31","Homem Branco",4796.23223006224,4840.06406638281,93384653663.6726,94238077905.4313,0.0308162637358989,0.870943081944789,0.49354141916865,0.500530565627741,"2013T4"
"32","Mulher Branca",3349.63745653513,3380.06821482539,50441360328.6737,50899609576.2151,0.0450249466429071,0.634392233790518,0.478789453850368,0.483368080859691,"2013T4"
"33","Homem Negro",2680.5749486913,2778.92769557891,58946773481.3518,61109584521.1562,0.0474739159675759,0.860792426005135,0.437499161038431,0.456490962153111,"2014T1"
"34","Mulher Negra",1983.48835273049,2066.56644451168,28742869035.2928,29946759498.5171,0.0780573871265579,0.590085283526079,0.422023078317579,0.440600052035734,"2014T1"
"35","Mulher Branca",3402.51269657132,3563.53465431607,51277548840.1237,53704229366.8147,0.0496840528962349,0.632580599374216,0.480740927646366,0.493948415162777,"2014T1"
"36","Homem Branco",4864.34836624028,5029.06256137676,95002702197.9766,98219637427.561,0.0340395334777931,0.868269459269272,0.499211888818536,0.508280177596134,"2014T1"
"37","Homem Negro",2655.55614051579,2657.00541038629,59313503178.463,59345873525.2083,0.0463035643777183,0.863203814544702,0.437823821786878,0.451208453378058,"2014T2"
"38","Mulher Negra",1981.74975664162,1973.95579889413,29135495462.2605,29020909440.5772,0.073726436594043,0.592001821839339,0.429926629880356,0.43741207236053,"2014T2"
"39","Homem Branco",4826.7738811947,4833.22123884649,94526678593.187,94652942495.2315,0.0330814189682395,0.871362316994736,0.497579304270403,0.504111966954042,"2014T2"
"40","Mulher Branca",3402.26765659508,3406.79321381637,51470438344.413,51538902215.4083,0.0470547112960122,0.632653391698722,0.48308973008352,0.487280247286435,"2014T2"
"41","Homem Negro",2692.61961364622,2667.79567883119,60667553977.1352,60108244597.6433,0.0461251006132974,0.863352499711194,0.439797300919963,0.450706985482611,"2014T3"
"42","Mulher Branca",3428.5311903396,3423.83022063891,51524448735.9062,51453801902.3483,0.04967799586623,0.635719052358456,0.48616122005842,0.490623216340282,"2014T3"
"43","Mulher Negra",1981.14642277146,1967.92785794494,29704340313.7212,29506147619.0507,0.0701091005995161,0.591810406676799,0.425222599809786,0.434361133107814,"2014T3"
"44","Homem Branco",4899.56061442544,4888.94647293954,95629332756.302,95422166573.8714,0.0317656557633813,0.871016120891722,0.5046269252407,0.510798206322761,"2014T3"
"45","Mulher Branca",3444.0158297987,3464.49620532323,52710749441.1825,53024202106.9322,0.0458167373856175,0.640324920713668,0.485925273625071,0.489650799624542,"2014T4"
"46","Homem Branco",4863.02108341073,4888.63927996374,94491766502.3691,94989545271.0355,0.0333830891522885,0.87106228625903,0.494006357271246,0.499798696471771,"2014T4"
"47","Homem Negro",2678.83967554315,2678.38515658325,60904838573.3048,60894504844.0659,0.0466617094106565,0.861756331620639,0.429584991075899,0.441351429481074,"2014T4"
"48","Mulher Negra",2007.5492349757,2012.75829034212,30312846632.1103,30391500392.4612,0.0665155667692644,0.592460081353821,0.426850786872819,0.435911393953575,"2014T4"
"49","Mulher Branca",3444.60172218745,3587.69056634706,52045362082.9717,54207327762.8794,0.0562560203342578,0.641555830459985,0.483480165937181,0.494798316474771,"2015T1"
"50","Homem Branco",4844.0385273555,5004.20191823676,93169497163.9473,96250055361.0404,0.0388749131755816,0.870221345699764,0.497474184202474,0.507919476328425,"2015T1"
"51","Mulher Negra",2026.13121194064,2108.47290176422,30386444403.8372,31621345265.7344,0.0838483875441412,0.59415232615044,0.42764426042595,0.450114420359569,"2015T1"
"52","Homem Negro",2654.44747586181,2730.88499076422,60241096829.8983,61975800484.2541,0.0533806807570865,0.858033636912615,0.425115536439989,0.447669446049986,"2015T1"
"53","Mulher Negra",2001.02996261507,1994.75421109381,30058930641.4839,29964658000.2815,0.0871829936449011,0.599953198482223,0.427652544325611,0.436833283958549,"2015T2"
"54","Homem Negro",2619.9920842774,2600.56360275056,59081618058.4885,58643499893.2034,0.0591901870105551,0.862908970364752,0.428432891318153,0.441460736830777,"2015T2"
"55","Mulher Branca",3392.19707243256,3390.79393065053,52408358003.0464,52386679912.0417,0.0584585982674979,0.648579058513625,0.481953195933784,0.487855480243525,"2015T2"
"56","Homem Branco",4873.42641182469,4867.89120001289,94783590409.7266,94675935711.6014,0.0418594450798805,0.869082204417519,0.50299223348793,0.509715976615553,"2015T2"
"57","Mulher Negra",1969.47091434712,1953.98185888517,29891595939.3171,29656511184.3316,0.092670551355066,0.603608575022294,0.427965897120885,0.439100313857125,"2015T3"
"58","Homem Negro",2613.2345849908,2580.29189540848,59110863552.1899,58365706251.6831,0.0643005998549151,0.865437687150021,0.43308211605472,0.448041940424446,"2015T3"
"59","Mulher Branca",3409.33900912247,3395.70425533226,52768865005.8245,52557829822.6942,0.0613684027710058,0.652139609031489,0.486458363725433,0.494397771541117,"2015T3"
"60","Homem Branco",4744.96747560622,4731.35132489756,92277897504.8692,92013097004.9787,0.0467409235235549,0.869724480714224,0.495089623356762,0.504528483787908,"2015T3"
"61","Mulher Negra",1964.51614317442,2048.61828443425,30059839562.9923,31346719735.4756,0.0921302368940071,0.597132721170823,0.429405605846114,0.447806558922821,"2015T4"
"62","Homem Negro",2547.09026929153,2629.37831690376,57834119984.2949,59702548785.6829,0.0654825865524287,0.866779482039738,0.431505681448471,0.453720917137616,"2015T4"
"63","Mulher Branca",3396.42431454253,3567.55246717297,52517304681.0405,55163378463.0223,0.0620797979451528,0.651519677228446,0.487548331745529,0.499787162345456,"2015T4"
"64","Homem Branco",4619.09265021662,4791.99223347155,90626236511.968,94018512811.9784,0.0473307020916793,0.873378275510018,0.493241989481248,0.505693910084119,"2015T4"
"65","Homem Negro",2546.40794954768,2787.13732248367,57713517474.8256,63169571314.9469,0.0778269396266709,0.865307575609324,0.435247494497162,0.470991453896204,"2016T1"
"66","Mulher Negra",1945.27260514362,2182.59559053705,29514155530.6385,33114878371.9393,0.110281362983263,0.596145404713791,0.420039400765745,0.460071082380637,"2016T1"
"67","Mulher Branca",3414.02969428293,3846.65748371796,51640764704.1384,58184711851.4342,0.0745020957559042,0.64885739762912,0.48467537941815,0.505079872152237,"2016T1"
"68","Homem Branco",4599.60195251577,5052.74941452965,89578155082.6749,98403291267.6436,0.0534383873359429,0.876410143763951,0.493996549087569,0.514839560268229,"2016T1"
"69","Homem Negro",2496.56125518833,2488.56256135681,56428185766.1529,56247396378.1601,0.0831603923375035,0.861817384478388,0.426276977786983,0.442777467913402,"2016T2"
"70","Mulher Negra",1945.49235550471,1945.75786749789,29606377772.9468,29610418317.4142,0.113538637154246,0.599466061720819,0.417753801584695,0.431786376700984,"2016T2"
"71","Mulher Branca",3352.7425106116,3393.62968262201,51258269765.5196,51883371659.3351,0.0789880776225006,0.654157857134605,0.480649772373908,0.489993537908049,"2016T2"
"72","Homem Branco",4549.09380792896,4609.93283133768,88191227834.7459,89370686514.0392,0.0563909632815873,0.876441457984535,0.491617127504469,0.504066763977789,"2016T2"
"73","Mulher Negra",1946.22415352306,1965.56817476173,29771630040.4025,30067537910.4025,0.120876223561701,0.6000745977851,0.415245752463306,0.43201426102496,"2016T3"
