Ano_trimestre,hiato_renda_mb,hiato_renda_mn,hiato_renda_hn,hiato_empregabilidade_mb,hiato_empregabilidade_mn,hiato_empregabilidade_hn
2012T1,-0.398951757988133,-0.508087146458306,-0.13690970686201,-0.108115388875435,-0.12260729075903,-0.00309146470591528
2012T2,0.252531812185921,0.141823681585347,-0.134628518980404,-0.074746116692094,-0.0903808547600944,-0.00339822654713834
2012T3,0.453244017211242,0.347193768313429,-0.125567225848418,-0.0567819506976728,-0.072116771815091,-0.0035086296231798
2012T4,0.218136555914874,0.110900292196092,-0.135391942301767,-0.0751786611202061,-0.0882449267601622,-0.00671976858137064
2013T1,0.319666696575794,0.207072023587802,-0.128054166398555,-0.0667356283577336,-0.0822574209309367,-0.00863620185565899
2013T2,-0.144790921516112,-0.256105326288273,-0.12966610788028,-0.0806823031288411,-0.096624713869655,-0.00622368471923906
2013T3,-0.312104624330846,-0.424387074228111,-0.12020483699646,-0.0665489358626008,-0.0812885723615892,-0.00650541562633908
2013T4,0.159892446942564,0.0410779012503107,-0.12971284416084,-0.0695212502410749,-0.0869248256134303,-0.00580044805895559
2014T1,0.067817487788524,-0.0403294557853766,-0.127274812404546,-0.0721759665835997,-0.0894962591010604,-0.00570970672996174
2014T2,-0.275534256085081,-0.38781343189139,-0.125989158898411,-0.0629044713637099,-0.0802670856873937,-0.00361914244009309
2014T3,-0.20447112633391,-0.31782021002052,-0.12165444851746,-0.0658008716666363,-0.0764381009509499,-0.00668421177378883
2014T4,-0.0213962946796507,-0.130549601816892,-0.118194798983093,-0.0622196373856259,-0.0722072680219675,-0.00348957458807169
2015T1,0.0362685789786816,-0.0643809953760967,-0.124651188414849,-0.0818656629607839,-0.100443201170579,-0.00766655613485604
2015T2,-0.0945318613563195,-0.195532405122924,-0.125806996081337,-0.0806188482964485,-0.0991726860809892,-0.00690022168883543
2015T3,-0.119812595053549,-0.231364309747088,-0.126588495943732,-0.0795928414177511,-0.102390918796026,-0.00718655836925717
2015T4,0.371397520560841,0.26015490099864,-0.130982775178294,-0.0880799071765774,-0.10737277179235,-0.0106364595023387
2016T1,-0.0513085845911672,-0.180317006436777,-0.129828776950303,-0.073233962610221,-0.094479834537283,-0.0183917243908036
2016T2,0.145361660140463,0.019243303334859,-0.134948304769506,-0.0962833985921874,-0.120820693494537,-0.0149129394101719
