Ano_trimestre,massa_salarial_perdida_homem_negro,massa_salarial_perdida_mulher_negra,massa_salarial_perdida_hn_discriminacao,massa_salarial_perdida_mn_discriminacao,massa_salarial_perdida_hn_composicao,massa_salarial_perdida_mn_composicao,diff_caracteristica_wg_homem_negro,diff_caracteristica_wg_mulher_negra,perda_wg_discr_homem_negro,perda_wg_discr_mulher_negra
2012T1,-31895741523.2946,-18936613918.4481,-7238334448.04217,-2965951953.86847,-24657407075.2524,-15970661964.5796,-1313.96128719744,-825.001359635572,-268.205884866517,-169.675155548656
2012T2,-32908348782.9702,-19710455967.6166,-7756090283.93491,-3164020364.11392,-25152258499.0352,-16546435603.5027,-1338.48848483843,-853.073144958091,-281.736379925972,-174.707632510726
2012T3,-32535858462.3172,-19720866769.4931,-7123650855.46009,-2985446069.80776,-25412207606.8572,-16735420699.6854,-1413.66411951262,-889.134949595218,-256.116343537646,-162.985758550095
2012T4,-33212129944.3858,-20041464234.3692,-7548349822.18155,-3072383807.46323,-25663780122.2042,-16969080426.906,-1383.09381479478,-881.844476283153,-268.725237395287,-165.422363457604
2013T1,-33000018118.6766,-20225118100.6358,-7377574633.1789,-3364519188.29146,-25622443485.4977,-16860598912.3443,-1399.0432609753,-909.462594958993,-263.069276078409,-182.31696144808
2013T2,-33435807814.863,-20254735385.1189,-7589011167.42493,-3227039149.45933,-25846796647.4381,-17027696235.6595,-1417.16459352138,-896.235379766543,-268.259757649526,-173.151158703244
2013T3,-33015968761.3773,-20195076653.642,-7077376926.31927,-3161943935.96955,-25938591835.0581,-17033132717.6725,-1401.99353776557,-910.751880362069,-249.288929464255,-169.604236772251
2013T4,-33978795711.0449,-20883256533.4179,-7517021119.30952,-3596347772.76413,-26461774591.7354,-17286908760.6538,-1430.34682621506,-898.302693627881,-259.539740878981,-190.07342664164
2014T1,-33387759444.1376,-20492720528.4251,-7288660388.26445,-3241444585.27985,-26099099055.8731,-17251275943.1452,-1425.73781957918,-964.826307136051,-255.152167056692,-171.670013551312
2014T2,-33590912048.4155,-20843574049.6361,-7234186358.03209,-3355307583.36244,-26356725690.3834,-17488266466.2737,-1418.49549042827,-921.056334901584,-250.769836994977,-175.292218880394
2014T3,-33910589260.1933,-21367874247.5228,-7320588524.90603,-3630945554.79649,-26590000735.2872,-17736928692.7263,-1410.99325630953,-947.454744649966,-251.538640525753,-187.033059762137
2014T4,-33880011565.2476,-21119155883.548,-7117029982.49,-3267788632.78637,-26762981582.7576,-17851367250.7617,-1440.23139721672,-948.180731687528,-242.963682941836,-167.247461609646
2015T1,-34242349337.114,-21302929551.3329,-7598513783.41132,-3628938109.50254,-26643835553.7027,-17673991441.8304,-1412.3825021528,-935.22262393323,-260.560736454581,-187.59531283657
2015T2,-34306223382.8819,-21000402152.8841,-7913384451.97362,-3284215634.48072,-26392838930.9083,-17716186518.4033,-1412.86868046077,-922.094760227169,-273.938592457845,-169.370777920376
2015T3,-33992892885.1599,-21317859515.1557,-7621388744.4235,-3555551128.92379,-26371504140.7364,-17762308386.2319,-1394.98024539558,-915.936872446869,-264.043982862537,-182.887736206134
2015T4,-34086137670.1296,-21271663919.7283,-7666433528.06946,-3551347009.98699,-26419704142.0601,-17720316909.7413,-1328.29635205179,-893.550552355679,-265.119997230057,-183.104360861459
2016T1,-33412826690.4699,-21325961063.2959,-7354623263.83827,-3857838933.48616,-26058203426.6316,-17468122129.8098,-1320.53279186873,-893.461487317421,-257.865370283136,-201.778520813383
2016T2,-33344626950.3942,-21001687150.4232,-7497896194.52871,-3589014847.54933,-25846730755.8655,-17412672302.8739,-1276.43266845461,-878.687317648617,-265.039660544851,-188.315856587789
2016T3,-33154239109.3529,-21150807803.2249,-7499108531.69719,-3775763671.52435,-25655130577.6557,-17375044131.7005,-1278.82241351318,-883.085452469441,-267.062230290012,-198.543626040577
2016T4,-33573144998.4479,-21941506972.98,-7695027980.18982,-4125042013.93434,-25878117018.2581,-17816464959.0457,-1333.81626165641,-902.30332703876,-271.678075995696,-211.535811162225
2017T1,-33068852270.0174,-21417066712.1682,-7546094938.73292,-4038322656.30841,-25522757331.2845,-17378744055.8598,-1340.03382287557,-925.891811925219,-270.129326362094,-212.304739882077
2017T2,-33606626979.2512,-22012970128.4778,-7707737754.61359,-3973863710.13907,-25898889224.6376,-18039106418.3388,-1373.69990664225,-906.951174111172,-271.908543700765,-201.26812909255
2017T3,-33693370016.7178,-22494651173.355,-7594929105.61198,-4177554143.75513,-26098440911.1058,-18317097029.5998,-1427.22635422229,-924.542892628635,-265.880338128286,-208.373508064799
2017T4,-33885176737.3528,-23014238671.397,-7301771185.0192,-4198684068.97872,-26583405552.3336,-18815554602.4183,-1373.79174217926,-898.339637375346,-250.95431326585,-203.879347622034
2018T1,-33817346411.426,-22464655213.1451,-7366692713.04229,-4025959176.00947,-26450653698.3837,-18438696037.1356,-1392.2129221334,-929.675608236196,-254.456299399132,-199.487746194817
2018T2,-33596361390.1138,-23222546780.1941,-7190988624.21828,-4642188756.16788,-26405372765.8955,-18580358024.0262,-1376.84287075295,-908.287061401305,-248.813167986435,-228.268391824358
2018T3,-34486655441.8116,-23243341681.8659,-7631620345.02911,-4400272966.20664,-26855035096.7825,-18843068715.6593,-1413.59997903127,-925.204923340766,-259.637904175706,-213.3560922638
2018T4,-35135291131.5929,-23729611142.274,-7970699076.94267,-4508432959.52712,-27164592054.6503,-19221178182.7469,-1390.29809030687,-925.764686680605,-268.083625292527,-214.300247873869
2019T1,-35028412669.6639,-23555870423.9849,-8088513534.54361,-4758104317.32598,-26939899135.1203,-18797766106.6589,-1426.53795524652,-937.729520537049,-274.315162302075,-231.262267627159
2019T2,-35359322989.4166,-24062364619.8576,-8130707511.44992,-4720715004.33092,-27228615477.9667,-19341649615.5267,-1411.53821426253,-950.138040469811,-272.822284644759,-222.993052611361
2019T3,-35577687238.5388,-24107767651.4642,-7984488375.42005,-4598975256.05395,-27593198863.1188,-19508792395.4103,-1464.08923006993,-942.476443140915,-264.376046619987,-215.381177899709
2019T4,-35879516516.3629,-24436645011.3114,-7690181872.35177,-4678938490.00276,-28189334644.0111,-19757706521.3086,-1471.65095356113,-977.982653908509,-249.246373237455,-216.36542779716
2020T1,-34996033674.2287,-23688642116.5345,-7642184400.69758,-4767242096.15914,-27353849273.5311,-18921400020.3753,-1438.8703388398,-969.27266215439,-255.256097472173,-230.192411202725
2020T2,-31538604696.2231,-20632159817.9865,-7311020017.12122,-4417334980.88832,-24227584679.1019,-16214824837.0982,-1465.39028021103,-983.528336259955,-275.705173015101,-248.9001365917
2020T3,-31926481199.9097,-20526943151.3277,-7326436235.65728,-4567624029.2754,-24600044964.2525,-15959319122.0523,-1501.61224274712,-1023.8745570725,-272.103379192354,-261.488775912783
2020T4,-32298312425.3305,-21205301452.5275,-6871409468.83223,-4377998587.23896,-25426902956.4983,-16827302865.2885,-1448.81237135065,-988.814896818388,-246.904738864533,-237.704918260284
2021T1,-32028596262.9228,-20819168185.6073,-6476750458.14849,-4076923582.84243,-25551845804.7743,-16742244602.7649,-1420.01844189919,-918.0391831745,-231.585811710326,-222.482548431301
2021T2,-33477287318.0704,-21087573565.7859,-7266740921.76005,-3697468744.99482,-26210546396.3104,-17390104820.791,-1294.06714186815,-894.384901800319,-253.303192933628,-194.258206051362
2021T3,-34015241191.2842,-22376118536.9363,-6592626662.79044,-3973188643.65568,-27422614528.4938,-18402929893.2806,-1240.65275973307,-848.657328534466,-219.647712940476,-197.255570164671
2021T4,-34704530298.6602,-23514845466.499,-6610187724.4762,-4334941915.78511,-28094342574.184,-19179903550.7139,-1217.77867426683,-844.327952747521,-214.967091996438,-206.497085196693
2022T1,-34903163082.972,-23398028454.4226,-6999646963.80426,-4181099883.92736,-27903516119.1678,-19216928570.4953,-1262.22649416079,-846.110970216161,-229.189262031247,-198.785008554063
2022T2,-36094270363.32,-24163134589.5629,-7476672410.56644,-4068881390.62695,-28617597952.7536,-20094253198.9359,-1296.99820946434,-875.574836249738,-238.699899679048,-185.003618063157
2022T3,-36630855078.0493,-25176737673.1177,-7713043296.10396,-4837956592.15934,-28917811781.9454,-20338781080.9584,-1342.51078964273,-927.779144847869,-243.689829730026,-217.327211481491
2022T4,-37374454128.1883,-25610120938.6933,-8290555498.11611,-5091702911.42984,-29083898630.0721,-20518418027.2635,-1348.64028266355,-936.720018189885,-260.44023022291,-226.723346936918
2023T1,-36337391149.0461,-25166080319.0614,-7731256363.54295,-4984708473.41537,-28606134785.5032,-20181371845.646,-1321.73640033061,-913.644116696039,-246.926645077526,-225.666005513069
2023T2,-36897372301.9425,-25244344943.5354,-8076688092.5193,-4813970475.92627,-28820684209.4232,-20430374467.6091,-1325.72693434302,-968.179223037639,-256.038978967283,-215.280234351631
2023T3,-37605784537.5998,-25833409724.8628,-8450814518.73516,-5154720481.61371,-29154970018.8647,-20678689243.2491,-1371.84070198319,-998.318247990997,-264.827470628026,-227.750414247192
2023T4,-37922790584.8106,-26631633216.0792,-8188432331.37204,-5596781025.46271,-29734358253.4386,-21034852190.6165,-1391.09082692192,-975.898999759431,-251.604993817431,-243.094936442249
2024T1,-38419433665.2751,-26478755785.8929,-8945207964.1776,-5628970742.07553,-29474225701.0974,-20849785043.8174,-1439.50842248865,-1013.81885661112,-277.284184221644,-246.663262510539
