Ano_trimestre,Decomposição,Perda
2012T1,Massa Salarial Perdida,-25.87
2012T2,Massa Salarial Perdida,-27.6
2012T3,Massa Salarial Perdida,-28.23
2012T4,Massa Salarial Perdida,-27.85
2013T1,Massa Salarial Perdida,-28.38
2013T2,Massa Salarial Perdida,-28.61
2013T3,Massa Salarial Perdida,-28.17
2013T4,Massa Salarial Perdida,-28.69
2014T1,Massa Salarial Perdida,-28.54
2014T2,Massa Salarial Perdida,-28.48
2014T3,Massa Salarial Perdida,-28.69
2014T4,Massa Salarial Perdida,-29.17
2015T1,Massa Salarial Perdida,-28.83
2015T2,Massa Salarial Perdida,-28.85
2015T3,Massa Salarial Perdida,-28.8
2015T4,Massa Salarial Perdida,-28.19
2016T1,Massa Salarial Perdida,-27.73
2016T2,Massa Salarial Perdida,-27.49
2016T3,Massa Salarial Perdida,-27.85
2016T4,Massa Salarial Perdida,-29.22
2017T1,Massa Salarial Perdida,-29.75
2017T2,Massa Salarial Perdida,-30.06
2017T3,Massa Salarial Perdida,-31.08
2017T4,Massa Salarial Perdida,-30.37
2018T1,Massa Salarial Perdida,-30.81
2018T2,Massa Salarial Perdida,-30.88
2018T3,Massa Salarial Perdida,-31.39
2018T4,Massa Salarial Perdida,-31.42
2019T1,Massa Salarial Perdida,-32.2
2019T2,Massa Salarial Perdida,-32.38
2019T3,Massa Salarial Perdida,-32.88
2019T4,Massa Salarial Perdida,-33.29
2020T1,Massa Salarial Perdida,-32.59
2020T2,Massa Salarial Perdida,-33.59
2020T3,Massa Salarial Perdida,-32.51
2020T4,Massa Salarial Perdida,-30.95
2021T1,Massa Salarial Perdida,-30.11
2021T2,Massa Salarial Perdida,-28.93
2021T3,Massa Salarial Perdida,-28.03
2021T4,Massa Salarial Perdida,-28.73
2022T1,Massa Salarial Perdida,-29.57
2022T2,Massa Salarial Perdida,-30.6
2022T3,Massa Salarial Perdida,-32.55
2022T4,Massa Salarial Perdida,-33.31
2023T1,Massa Salarial Perdida,-32.83
2023T2,Massa Salarial Perdida,-33.74
2023T3,Massa Salarial Perdida,-34.31
2023T4,Massa Salarial Perdida,-34.79
2024T1,Massa Salarial Perdida,-36.75
2012T1,Salários - Efeito Composição,-14.06
2012T2,Salários - Efeito Composição,-15.03
2012T3,Salários - Efeito Composição,-15.87
2012T4,Salários - Efeito Composição,-15.06
2013T1,Salários - Efeito Composição,-15.09
2013T2,Salários - Efeito Composição,-15.24
2013T3,Salários - Efeito Composição,-15.68
2013T4,Salários - Efeito Composição,-15.33
2014T1,Salários - Efeito Composição,-15.83
2014T2,Salários - Efeito Composição,-15.33
2014T3,Salários - Efeito Composição,-15.79
2014T4,Salários - Efeito Composição,-16.42
2015T1,Salários - Efeito Composição,-16.39
