Ano_trimestre,Decomposição,Perda
2012T1,Massa Salarial Premiada,30.96
2012T2,Massa Salarial Premiada,33.13
2012T3,Massa Salarial Premiada,21
2012T4,Massa Salarial Premiada,26.25
2013T1,Massa Salarial Premiada,34.51
2013T2,Massa Salarial Premiada,35.06
2013T3,Massa Salarial Premiada,34.72
2013T4,Massa Salarial Premiada,35.46
2014T1,Massa Salarial Premiada,35.33
2014T2,Massa Salarial Premiada,35.26
2014T3,Massa Salarial Premiada,35.22
2014T4,Massa Salarial Premiada,35.6
2015T1,Massa Salarial Premiada,34.98
2015T2,Massa Salarial Premiada,35.15
2015T3,Massa Salarial Premiada,34.96
2015T4,Massa Salarial Premiada,34.15
2016T1,Massa Salarial Premiada,33.86
2016T2,Massa Salarial Premiada,33.59
2016T3,Massa Salarial Premiada,33.84
2016T4,Massa Salarial Premiada,35.25
2017T1,Massa Salarial Premiada,35.79
2017T2,Massa Salarial Premiada,35.88
2017T3,Massa Salarial Premiada,36.84
2017T4,Massa Salarial Premiada,35.93
2018T1,Massa Salarial Premiada,36.36
2018T2,Massa Salarial Premiada,36.23
2018T3,Massa Salarial Premiada,36.82
2018T4,Massa Salarial Premiada,36.84
2019T1,Massa Salarial Premiada,37.78
2019T2,Massa Salarial Premiada,37.73
2019T3,Massa Salarial Premiada,38.42
2019T4,Massa Salarial Premiada,38.8
2020T1,Massa Salarial Premiada,38.25
2020T2,Massa Salarial Premiada,37.71
2020T3,Massa Salarial Premiada,37.54
2020T4,Massa Salarial Premiada,36.72
2021T1,Massa Salarial Premiada,35.21
2021T2,Massa Salarial Premiada,33.29
2021T3,Massa Salarial Premiada,32.66
2021T4,Massa Salarial Premiada,33.49
2022T1,Massa Salarial Premiada,34.35
2022T2,Massa Salarial Premiada,35.74
2022T3,Massa Salarial Premiada,37.63
2022T4,Massa Salarial Premiada,38.37
2023T1,Massa Salarial Premiada,37.41
2023T2,Massa Salarial Premiada,38.57
2023T3,Massa Salarial Premiada,39.5
2023T4,Massa Salarial Premiada,40.01
2024T1,Massa Salarial Premiada,41.6
2024T2,Massa Salarial Premiada,42.5
2012T1,Salários - Efeito Composição,28.1
2012T2,Salários - Efeito Composição,29.47
2012T3,Salários - Efeito Composição,19.22
2012T4,Salários - Efeito Composição,24.11
2013T1,Salários - Efeito Composição,30.52
2013T2,Salários - Efeito Composição,31.23
2013T3,Salários - Efeito Composição,31.11
2013T4,Salários - Efeito Composição,32.2
2014T1,Salários - Efeito Composição,32.03
2014T2,Salários - Efeito Composição,31.95
2014T3,Salários - Efeito Composição,32.09
2014T4,Salários - Efeito Composição,32.13
2015T1,Salários - Efeito Composição,31.56
2015T2,Salários - Efeito Composição,31.77
2015T3,Salários - Efeito Composição,31.42
2015T4,Salários - Efeito Composição,30.48
2016T1,Salários - Efeito Composição,29.88
2016T2,Salários - Efeito Composição,29.25
2016T3,Salários - Efeito Composição,29.2
2016T4,Salários - Efeito Composição,30.14
2017T1,Salários - Efeito Composição,29.99
2017T2,Salários - Efeito Composição,30.26
2017T3,Salários - Efeito Composição,31.28
2017T4,Salários - Efeito Composição,30.36
2018T1,Salários - Efeito Composição,30.46
2018T2,Salários - Efeito Composição,30.22
2018T3,Salários - Efeito Composição,31.1
2018T4,Salários - Efeito Composição,31.14
2019T1,Salários - Efeito Composição,31.64
2019T2,Salários - Efeito Composição,31.83
2019T3,Salários - Efeito Composição,32.92
2019T4,Salários - Efeito Composição,33
2020T1,Salários - Efeito Composição,32.14
2020T2,Salários - Efeito Composição,29.53
2020T3,Salários - Efeito Composição,30.45
2020T4,Salários - Efeito Composição,30.44
2021T1,Salários - Efeito Composição,29.19
2021T2,Salários - Efeito Composição,27.92
2021T3,Salários - Efeito Composição,27.71
2021T4,Salários - Efeito Composição,28.34
2022T1,Salários - Efeito Composição,28.7
2022T2,Salários - Efeito Composição,30.67
2022T3,Salários - Efeito Composição,32.25
2022T4,Salários - Efeito Composição,32.64
2023T1,Salários - Efeito Composição,31.23
