Ano_trimestre,total_hn,discriminacao_massa_wg_hn,composicao_massa_wg_hn,discriminacao_massa_emp_hn,composicao_massa_emp_hn,total_mn,discriminacao_massa_wg_mn,composicao_massa_wg_mn,discriminacao_massa_emp_mn,composicao_massa_emp_mn,composicao_wg_hn,discriminacao_wg_hn,composicao_emp_hn,discriminacao_emp_hn,penalidade_emp_hn,composicao_wg_mn,discriminacao_wg_mn,composicao_emp_mn,discriminacao_emp_mn
2012T1,-45.98,-7.26,-36.88,0.14,-1.98,-22.14,-2.84,-15.13,1.28,-5.44,-1770.2,-348.22,-0.02,0,-0.02,-1087.01,-203.87,-0.07,0.02
2012T2,-47.84,-7.03,-37.72,-0.57,-2.51,-24.7,-3.15,-16.36,0.91,-6.09,-1773.39,-330.48,-0.02,0,-0.03,-1137.29,-219.07,-0.07,0.01
2012T3,-49.01,-6.78,-39.14,-0.67,-2.42,-25.66,-3.07,-16.65,0.27,-6.21,-1825.66,-316.28,-0.02,-0.01,-0.03,-1144.4,-211.33,-0.07,0
2012T4,-49.38,-7.4,-38.68,-0.69,-2.61,-26.11,-3.05,-17.18,0.37,-6.26,-1780.49,-340.74,-0.02,-0.01,-0.03,-1164.78,-206.49,-0.07,0
2013T1,-49.91,-7.33,-38.9,-0.68,-2.99,-26.42,-3.34,-17.16,1.09,-7.01,-1788.21,-337.18,-0.02,-0.01,-0.03,-1163.1,-226.41,-0.08,0.01
2013T2,-51.27,-7.61,-40.14,-0.77,-2.75,-26.46,-3.33,-16.98,0.55,-6.69,-1825.65,-346.11,-0.02,-0.01,-0.03,-1135.52,-222.85,-0.07,0.01
2013T3,-49.01,-6.94,-39.29,-0.37,-2.42,-26.41,-3.28,-17.35,1.02,-6.8,-1778.67,-314.08,-0.02,0,-0.02,-1156.69,-218.5,-0.07,0.01
2013T4,-50.2,-7.76,-40.55,0.21,-2.09,-26.42,-3.71,-17.27,0.87,-6.32,-1794.42,-343.56,-0.02,0,-0.01,-1132.62,-243.09,-0.07,0.01
2014T1,-50.68,-7.58,-40.64,0.14,-2.6,-26.74,-3.29,-18.07,1.19,-6.56,-1820.45,-339.44,-0.02,0,-0.02,-1187.61,-216.1,-0.07,0.01
2014T2,-51.15,-7.76,-40.86,0.05,-2.58,-26.91,-3.56,-18.17,1.26,-6.43,-1804.67,-342.94,-0.02,0,-0.02,-1174.82,-230.31,-0.07,0.01
2014T3,-52.49,-7.55,-42.28,-0.46,-2.2,-27.7,-3.62,-18.87,1.45,-6.66,-1852.08,-330.78,-0.02,0,-0.02,-1201.35,-230.46,-0.07,0.01
2014T4,-52.46,-7.39,-42.31,-0.22,-2.53,-28.06,-3.33,-19.1,1.25,-6.88,-1839.05,-321.38,-0.02,0,-0.02,-1210.03,-210.97,-0.07,0.01
2015T1,-53.08,-7.26,-42.55,-0.93,-2.35,-28.07,-3.14,-18.92,0.97,-6.98,-1850.29,-315.62,-0.02,-0.01,-0.02,-1203.7,-199.57,-0.07,0.01
2015T2,-53.74,-7.52,-43.39,0.11,-2.94,-27.81,-3.11,-18.61,0.59,-6.68,-1899.62,-329.29,-0.02,0,-0.02,-1179.49,-196.77,-0.07,0.01
2015T3,-50.77,-7.58,-40.63,0.11,-2.66,-28.93,-3.25,-19.38,0.29,-6.59,-1776.89,-331.72,-0.02,0,-0.02,-1219.98,-204.52,-0.07,0
2015T4,-49.85,-7.36,-39.64,-0.14,-2.7,-29.37,-3.34,-19.23,0.23,-7.03,-1728.28,-321.12,-0.02,0,-0.02,-1207.11,-209.42,-0.07,0
2016T1,-50.52,-7.53,-38.88,-1.14,-2.97,-29.96,-3.87,-19.05,0.45,-7.49,-1701.39,-329.46,-0.02,-0.01,-0.03,-1207.79,-245.24,-0.07,0
2016T2,-50.97,-7.66,-38.54,-1.68,-3.09,-28.95,-3.59,-18.36,0.09,-7.09,-1693.84,-336.46,-0.02,-0.01,-0.04,-1164.43,-227.76,-0.07,0
2016T3,-51.47,-7.62,-38.99,-0.89,-3.96,-30.22,-3.75,-19.02,0.38,-7.83,-1717.36,-335.75,-0.03,-0.01,-0.04,-1202.94,-237.02,-0.08,0
2016T4,-55.32,-7.66,-41.63,-1.68,-4.35,-32.77,-4.53,-19.98,0.55,-8.81,-1813.86,-333.79,-0.03,-0.01,-0.04,-1237.71,-280.72,-0.08,0.01
2017T1,-55.34,-7.4,-40.56,-2.38,-4.99,-32.6,-4.1,-19.3,-0.18,-9.03,-1799.91,-328.31,-0.04,-0.02,-0.05,-1217.16,-258.83,-0.08,0
2017T2,-54.47,-7.72,-39.6,-2.11,-5.03,-30.64,-3.91,-18.73,0.26,-8.26,-1731.85,-337.72,-0.04,-0.02,-0.05,-1146.54,-239.19,-0.08,0
2017T3,-56.27,-7.17,-41.66,-2.38,-5.06,-30.73,-4.26,-18.83,0.83,-8.47,-1809.51,-311.56,-0.04,-0.02,-0.05,-1133.31,-256.12,-0.08,0.01
2017T4,-55.86,-7.26,-41.47,-2.51,-4.62,-31.01,-4.18,-19.18,0.41,-8.05,-1768.22,-309.51,-0.03,-0.02,-0.05,-1125.03,-245.36,-0.08,0
2018T1,-56.07,-7.04,-41.47,-2.06,-5.5,-31.45,-3.79,-19.33,0.3,-8.63,-1773.41,-300.92,-0.04,-0.01,-0.05,-1155.39,-226.41,-0.08,0
2018T2,-57.06,-7.05,-42.11,-2.43,-5.47,-32.19,-4.68,-19.25,0.43,-8.7,-1806.39,-302.37,-0.04,-0.02,-0.05,-1139.09,-276.91,-0.08,0
2018T3,-58.39,-7.73,-43.32,-2.27,-5.07,-33.15,-4.48,-20.33,-0.01,-8.33,-1826.34,-325.79,-0.04,-0.02,-0.05,-1186.2,-261.32,-0.08,0
2018T4,-58,-7.94,-43.68,-1.3,-5.09,-33.28,-4.83,-20.17,0.43,-8.71,-1816.01,-330.04,-0.03,-0.01,-0.04,-1154.14,-276.45,-0.08,0
2019T1,-56.3,-7.56,-41.58,-1.6,-5.55,-35.51,-5.07,-21.23,-0.13,-9.07,-1743.55,-317.21,-0.04,-0.01,-0.05,-1238.75,-296.07,-0.08,0
2019T2,-55.71,-7.82,-40.87,-2.46,-4.56,-36.31,-5.18,-22.24,-0.07,-8.82,-1695.23,-324.29,-0.03,-0.02,-0.05,-1262.05,-294.01,-0.08,0
2019T3,-60.2,-7.78,-45.9,-1.7,-4.82,-35.81,-5.16,-21.88,-0.18,-8.58,-1875.68,-318.08,-0.03,-0.01,-0.04,-1233.89,-291.22,-0.07,0
2019T4,-59.93,-7.96,-45.23,-1.92,-4.82,-38.14,-5.12,-23.13,-0.44,-9.44,-1814.43,-319.34,-0.03,-0.01,-0.04,-1283.47,-284.25,-0.08,0
2020T1,-60.6,-8.12,-45.34,-1.28,-5.87,-36.21,-4.85,-21.12,-1.21,-9.03,-1859.76,-333.14,-0.04,-0.01,-0.05,-1220.26,-280.54,-0.08,-0.01
2020T2,-57.53,-6.86,-40.1,-3.49,-7.08,-34.45,-4.51,-18.23,-1.16,-10.54,-1825.61,-312.37,-0.05,-0.02,-0.07,-1204.59,-298.09,-0.09,-0.01
2020T3,-59.23,-7.15,-43.63,-2.08,-6.37,-34.03,-4.49,-19.56,0.05,-10.04,-1951.48,-319.82,-0.04,-0.01,-0.05,-1309.9,-300.5,-0.08,0
2020T4,-54.93,-6.47,-42.02,-1.18,-5.26,-33.8,-4.72,-19.79,0.02,-9.31,-1823.47,-280.69,-0.04,-0.01,-0.04,-1269.01,-302.42,-0.08,0
2021T1,-54.51,-6.65,-41.91,-0.75,-5.19,-31.91,-4.15,-18.37,-0.41,-8.98,-1798.78,-285.59,-0.04,-0.01,-0.04,-1186.96,-267.93,-0.08,0
2021T2,-52.13,-7.59,-38.45,-0.77,-5.31,-31.22,-4.29,-18.04,-0.1,-8.78,-1627.7,-321.44,-0.04,-0.01,-0.04,-1128.7,-268.76,-0.08,0
2021T3,-50.27,-6.55,-38.74,-0.74,-4.25,-31.71,-4.34,-18.49,-0.47,-8.41,-1576.61,-266.37,-0.03,-0.01,-0.04,-1098.43,-257.87,-0.08,0
2021T4,-46.56,-6.5,-35.75,-0.11,-4.2,-31.38,-4.1,-18.06,-0.59,-8.63,-1423.62,-259.02,-0.03,0,-0.03,-1032.92,-234.69,-0.08,-0.01
