Ano_trimestre,total_hn,discriminacao_massa_wg_hn,composicao_massa_wg_hn,discriminacao_massa_emp_hn,composicao_massa_emp_hn,total_hb,composicao_massa_wg_hb,composicao_massa_emp_hb
2012T1,-17,-6.77,-9.54,0.1,-0.79,20.19,19.36,0.83
2012T2,-17.91,-6.58,-10.3,-0.39,-0.64,21.28,20.04,1.24
2012T3,-10.01,-4.79,-4.84,-0.32,-0.06,13.47,12.96,0.52
2012T4,-11.78,-5.37,-5.9,-0.34,-0.18,16.87,16.13,0.74
2013T1,-18.1,-6.89,-10.13,-0.46,-0.63,21.84,20.51,1.33
2013T2,-18.44,-7.12,-10.35,-0.52,-0.45,22.47,21.29,1.19
2013T3,-17.92,-6.48,-10.64,-0.25,-0.55,21.97,20.97,0.99
2013T4,-18.36,-7.26,-10.45,0.14,-0.79,22.52,21.72,0.81
2014T1,-17.87,-7.01,-10.21,0.1,-0.75,22.02,21.2,0.82
2014T2,-18.22,-7.17,-10.27,0.03,-0.82,22.36,21.38,0.98
2014T3,-18.02,-6.97,-10.37,-0.31,-0.37,21.95,21.12,0.83
2014T4,-18.47,-6.83,-10.87,-0.15,-0.62,22.28,21.34,0.94
2015T1,-18.28,-6.74,-10.73,-0.62,-0.2,21.93,20.95,0.99
2015T2,-18.38,-6.93,-10.72,0.07,-0.81,22.17,21.28,0.9
2015T3,-18.08,-6.9,-10.41,0.07,-0.85,21.72,20.78,0.94
2015T4,-17.58,-6.73,-10.03,-0.1,-0.73,21.09,20.1,1
2016T1,-17.23,-6.82,-9.33,-0.75,-0.33,20.85,19.53,1.31
2016T2,-17.07,-7.09,-8.7,-1.12,-0.17,20.69,19.13,1.56
2016T3,-17.2,-7.04,-8.67,-0.58,-0.9,20.7,18.9,1.81
2016T4,-18.06,-7.04,-9.3,-1.09,-0.64,21.64,19.55,2.09
2017T1,-18.19,-6.88,-9.31,-1.57,-0.43,21.77,19.37,2.4
2017T2,-18.83,-7.2,-9.53,-1.42,-0.68,22.3,19.8,2.5
2017T3,-19.55,-6.66,-10.74,-1.59,-0.55,23.06,20.51,2.55
2017T4,-19.01,-6.62,-10.26,-1.66,-0.47,22.33,19.8,2.54
2018T1,-19.23,-6.44,-10.56,-1.37,-0.85,22.49,19.86,2.63
2018T2,-19.06,-6.5,-10.24,-1.61,-0.71,22.22,19.49,2.73
2018T3,-19.58,-7.19,-10.26,-1.5,-0.62,22.75,20.26,2.49
2018T4,-19.47,-7.37,-9.99,-0.86,-1.25,22.62,20.14,2.49
2019T1,-19.84,-7,-10.56,-1.09,-1.19,23.12,20.42,2.69
2019T2,-19.79,-7.18,-10.44,-1.67,-0.51,22.94,20.39,2.55
2019T3,-20.68,-7.22,-11.45,-1.12,-0.89,23.92,21.56,2.37
2019T4,-20.38,-7.3,-11.09,-1.27,-0.72,23.52,21.2,2.32
2020T1,-19.93,-7.48,-10.32,-0.84,-1.3,23.12,20.61,2.51
2020T2,-20.68,-6.59,-10.76,-2.44,-0.89,22.92,19.19,3.73
2020T3,-20.17,-6.76,-10.66,-1.39,-1.36,22.97,19.79,3.19
2020T4,-19.3,-6.11,-10.79,-0.8,-1.6,22.42,19.56,2.85
2021T1,-18.85,-6.18,-10.53,-0.5,-1.63,21.73,19.22,2.51
2021T2,-17.8,-7.1,-8.84,-0.52,-1.34,20.31,18.17,2.14
2021T3,-17,-6.05,-9.41,-0.5,-1.04,19.65,17.86,1.8
2021T4,-17.19,-5.96,-9.66,-0.07,-1.49,19.8,17.97,1.83
2022T1,-18.18,-6.2,-10,-0.55,-1.43,20.87,18.56,2.31
2022T2,-18.84,-7.41,-9.76,-0.47,-1.2,21.81,19.85,1.95
2022T3,-19.52,-7.38,-10.45,0.05,-1.73,22.38,20.42,1.96
2022T4,-20.04,-7.51,-10.67,-0.22,-1.63,22.97,20.81,2.16
2023T1,-19.71,-6.66,-10.99,-0.4,-1.67,22.38,19.99,2.39
2023T2,-19.88,-7.32,-10.53,0.09,-2.13,22.64,20.28,2.36
2023T3,-20.08,-7.61,-10.74,0.29,-2.03,23.05,21.02,2.03
2023T4,-20.42,-7.22,-11.47,0.67,-2.4,23.37,21.36,2.01
2024T1,-21.78,-7.7,-12.02,-0.18,-1.88,24.57,22.21,2.36
2024T2,-22.35,-8.08,-12.5,-0.01,-1.76,25.29,23.26,2.03
