Ano_trimestre,total_mn,discriminacao_massa_wg_mn,composicao_massa_wg_mn,discriminacao_massa_emp_mn,composicao_massa_emp_mn,total_mb,composicao_massa_wg_mb,composicao_massa_emp_mb
2012T1,-9.06,-2.75,-4.63,0.94,-2.62,10.65,8.64,2.01
2012T2,-9.89,-3.08,-4.84,0.67,-2.65,11.72,9.33,2.39
2012T3,-10.28,-2.99,-5.11,0.2,-2.39,12.26,9.6,2.66
2012T4,-10.07,-2.94,-5.06,0.27,-2.33,12.11,9.59,2.52
2013T1,-10.48,-3.25,-5.07,0.8,-2.96,12.53,9.9,2.64
2013T2,-10.38,-3.23,-5,0.41,-2.55,12.45,9.83,2.63
2013T3,-10.45,-3.19,-5.16,0.75,-2.85,12.61,10.03,2.58
2013T4,-10.54,-3.58,-5,0.64,-2.6,12.79,10.36,2.43
2014T1,-10.86,-3.16,-5.73,0.87,-2.84,13.16,10.71,2.45
2014T2,-10.46,-3.44,-5.17,0.92,-2.76,12.76,10.45,2.31
2014T3,-10.87,-3.49,-5.54,1.05,-2.9,13.13,10.85,2.28
2014T4,-10.9,-3.21,-5.67,0.91,-2.94,13.17,10.68,2.5
2015T1,-10.75,-3,-5.78,0.7,-2.68,12.91,10.49,2.42
2015T2,-10.67,-2.98,-5.68,0.43,-2.43,12.83,10.38,2.45
2015T3,-10.92,-3.13,-5.68,0.21,-2.32,13.1,10.52,2.58
2015T4,-10.8,-3.19,-5.42,0.16,-2.34,12.92,10.27,2.65
2016T1,-10.69,-3.73,-4.8,0.32,-2.48,12.87,10.23,2.64
2016T2,-10.61,-3.49,-4.87,0.07,-2.32,12.75,10.01,2.74
2016T3,-10.85,-3.65,-4.89,0.27,-2.6,12.99,10.18,2.81
2016T4,-11.36,-4.39,-4.49,0.38,-2.87,13.45,10.47,2.98
2017T1,-11.76,-3.96,-5,-0.13,-2.68,13.86,10.5,3.36
2017T2,-11.44,-3.77,-5.08,0.19,-2.77,13.43,10.34,3.09
2017T3,-11.75,-4.11,-5.11,0.61,-3.14,13.63,10.65,2.99
2017T4,-11.57,-4.04,-4.99,0.3,-2.84,13.45,10.45,3.01
2018T1,-11.79,-3.66,-5.4,0.22,-2.95,13.72,10.48,3.24
2018T2,-12.03,-4.52,-4.75,0.32,-3.07,13.86,10.62,3.24
2018T3,-12.03,-4.3,-5.02,-0.01,-2.7,13.92,10.72,3.19
2018T4,-12.16,-4.6,-4.87,0.31,-3,14.06,10.88,3.18
2019T1,-12.58,-4.88,-4.82,-0.09,-2.8,14.5,11.1,3.4
2019T2,-12.81,-4.98,-4.99,-0.05,-2.79,14.63,11.32,3.31
2019T3,-12.43,-4.97,-4.82,-0.13,-2.52,14.34,11.24,3.1
2019T4,-13.13,-4.95,-5.25,-0.31,-2.62,15.11,11.68,3.43
2020T1,-12.88,-4.72,-5.14,-0.87,-2.16,14.97,11.4,3.56
2020T2,-13.14,-4.48,-4.75,-0.88,-3.03,14.62,10.23,4.39
2020T3,-12.57,-4.35,-4.9,0.04,-3.35,14.41,10.54,3.87
2020T4,-11.87,-4.64,-4.42,0.01,-2.83,14.14,10.76,3.37
2021T1,-11.47,-4.01,-4.5,-0.3,-2.66,13.33,9.85,3.48
2021T2,-11.34,-4.11,-4.43,-0.07,-2.72,12.84,9.65,3.19
2021T3,-11.22,-4.12,-4.41,-0.34,-2.36,12.87,9.74,3.12
2021T4,-11.74,-3.89,-5.04,-0.43,-2.38,13.54,10.26,3.28
2022T1,-11.6,-4.09,-4.69,-0.16,-2.67,13.33,10.03,3.3
2022T2,-11.96,-4.16,-5.16,0.4,-3.04,13.78,10.7,3.08
2022T3,-13.25,-4.27,-6.07,0.37,-3.28,15.08,11.7,3.38
2022T4,-13.5,-4.73,-5.72,0.4,-3.45,15.23,11.7,3.53
2023T1,-13.34,-4.59,-5.46,0.1,-3.38,14.86,11.12,3.74
2023T2,-14.08,-4.6,-6.1,-0.08,-3.29,15.75,11.9,3.86
2023T3,-14.45,-4.8,-6.38,0.13,-3.4,16.27,12.52,3.76
2023T4,-14.6,-5.42,-5.83,0.51,-3.85,16.46,12.61,3.85
2024T1,-15.21,-5.41,-6.12,-0.09,-3.59,16.84,12.67,4.17
